,make,model
1069,Acura,Getz
1070,Acura,Grace
1071,Acura,Grand Santa Fe
1072,Acura,Grandeur
1073,Acura,H 100
1074,Acura,H 200
1075,Acura,H 300
1076,Acura,H 350
1077,Acura,H-1
1078,Acura,Highway
1079,Acura,i10
1080,Acura,i20
1081,Acura,i30
1082,Acura,i40
1083,Acura,i50
1084,Acura,i800
1085,Acura,Ioniq
1086,Acura,iX20
1087,Acura,iX35
1088,Acura,iX55
1089,Acura,Kona
1090,Acura,Lantra
1091,Acura,Matrix
1092,Acura,Nexo
1093,Acura,NF
1094,Acura,Pony
1095,Acura,Porter
1096,Acura,S-Coupe
1097,Acura,Santa Fe
1098,Acura,Santamo
1099,Acura,Satellite
1100,Acura,Solaris
1101,Acura,Sonata
1102,Acura,Sonica
1103,Acura,Starex
1104,Acura,Stellar
1105,Acura,Terracan
1106,Acura,Tiburon
1107,Acura,Trajet
1108,Acura,Tucson
1109,Acura,Veloster
1110,Acura,Veracruz
1111,Acura,Verna
1112,Acura,XG 250
1113,Acura,XG 30
1114,Acura,XG 350
1115,Acura,Autres
1116,Aixam,Axiom
1117,Aixam,Bighorn
1118,Aixam,Campo
1119,Aixam,D-Max
1120,Aixam,DLX
1121,Aixam,Gemini
1122,Aixam,Midi
1123,Aixam,NKR
1124,Aixam,NNR
1125,Aixam,NPR
1126,Aixam,PICK UP
1127,Aixam,Rodeo
1128,Aixam,Trooper
1129,Aixam,WFR
1130,Aixam,Autres
1131,Alfa Romeo,Campagnola
1132,Alfa Romeo,Daily
1133,Alfa Romeo,Massif
1134,Alfa Romeo,Autres
1135,Alpina,Alturas G4
1136,Alpina,Bolero
1137,Alpina,CJ
